"nom","type","courte_description","source","condition","avantage","normal","url"
"École du soleil","[Tactique]","Le personnage connaît un certain nombre de techniques d'arts martiaux inspirées par le soleil.","Codex Martial","[[Bonus de base à l’attaque de +6], [Aptitude de classe de Déluge de coups]]","Le don École du soleil donne accès aux trois manœuvres tactiques suivantes.
Avancée inexorable de l'aube. Pour utiliser cette manœuvre, le personnage doit frapper avec succès le même adversaire avec les deux premières attaques à mains nues d'un déluge de coups. Dans ce cas, l'adversaire doit reculer de 1,50 mètre et le personnage peut avancer de 1,50 mètre s'il le souhaite. Ce mouvement ne provoque pas d'attaque d'opportunité pour l'un comme pour l'autre.
Lueur du coucher. Pour utiliser cette manœuvre, le personnage doit se déplacer instantanément sur une case adjacente à un ennemi, par exemple à l'aide du sort porte dimensionnelle ou du pouvoir de moine de pas chassé. Dans ce cas, le personnage peut porter une unique attaque contre cet adversaire (à son plus haut bonus de base à l'attaque).
Soleil aveuglant de midi. Pour utiliser cette manœuvre, le personnage doit étourdir avec succès le même adversaire deux rounds de suite à l'aide d'attaques à mains nues. Dans ce cas, l'adversaire est confus pendant 1d4 rounds après le deuxième round d'étourdissement.","","https://gemmaline.com/dons/dons-ecole-du-soleil-1745.htm"
"École renforcée","[Général]","Le personnage choisit une école de magie. Tous ses sorts appartenant à cette école voient aussitôt leur efficacité accrue.","Manuel du Joueur","[[]]","Le DD des jets de sauvegarde contre tous les sorts de l’école choisie lancés par le personnage augmente de +1.","","https://gemmaline.com/dons/dons-ecole-renforcee-32.htm"
"École renforcée (Bien)","[Exalté]","Les sorts du personnage qui présentent le registre du Bien voient leur efficacité augmenter.","Chapitres Sacrés","[[Alignement bon]]","Le DD de sauvegarde de tous les sorts du Bien que lance le personnage augmente de +2.","","https://gemmaline.com/dons/dons-ecole-renforcee--bien--258.htm"
"École renforcée (Chaos)","[Anarchique]","Les sorts du personnage qui présentent le registre du Chaos voient leur efficacité augmenter.","Codex Heroïque","[[]]","Le DD de sauvegarde de tous les sorts du Chaos que lance le personnage augmente de +2. ","","https://gemmaline.com/dons/dons-ecole-renforcee--chaos--2002.htm"
"École renforcée (Loi)","[Axiomatique]","Les sorts du personnage qui présentent le registre de la Loi voient leur efficacité augmenter.","Codex Heroïque","[[]]","Le DD de sauvegarde de tous les sorts de la Loi que lance le personnage augmente de +2. ","","https://gemmaline.com/dons/dons-ecole-renforcee--loi--2220.htm"
"École renforcée (Mal)","[Général]","Suite à un pacte conclu avec une puissance maléfique, les sorts du Mal du personnage sont plus puissants que la normale.","Chapitres Interdits","[[Alignement mauvais]]","Ajoute +2 au DD des jets de sauvegarde des sorts du Mal du personnage.","","https://gemmaline.com/dons/dons-ecole-renforcee--mal--557.htm"
"École renforcée épique","[Épique]","Choisissez une école de magie, par exemple Illusion. Tous les sorts du personnage qui appartiennent à cette école voient leur efficacité accrue.","Codex AventureuxCampagnes Légendaires","[[École supérieure (école choisie)], [Faculté de lancer au moins un sort de 9ème niveau de l’école choisie]]","Ajoutez +1 au DD des jets de sauvegarde des sorts de l'école de magie choisie. Ce bonus se cumule avec les bonus découlant d'École renforcée et d'École supérieure.","","https://gemmaline.com/dons/dons-ecole-renforcee-epique-1629.htm"
"École supérieure","[Général]","Le personnage choisit une école de magie pour laquelle il possède déjà le don École Renforcée.","Manuel du Joueur","[[École renforcée (pour l’école choisie)]]","Le degré de difficulté (DD) des jets de sauvegarde contre les sorts de l’école choisie lancés par le personnage augmente de +1. Ce bonus se cumule avec celui d’École renforcée.","","https://gemmaline.com/dons/dons-ecole-superieure-33.htm"
"Ecouteur indiscret","[Général, Compétence]","Le personnage apprend beaucoup de chose en laissant traîner ses oreilles.","Player's Advantage : Rogue","[[Degré de maîtrise de 4 en Perception auditive], [Sag 13]]","Le personnage peut appliquer son modificateur de Sagesse au lieu de celui de Charisme à ses tests de Renseignement","","https://gemmaline.com/dons/dons-ecouteur-indiscret-2392.htm"
"Écran dromite","[Psionique, Racial]","Le personnage a appris à maîtriser son rayon d'énergie afin de créer un mur d'énergie.","Complete Psionic","[[Dromite], [Rayon dromite], [3 dés de vie ou plus]]","Le personnage peut utiliser rayon d’énergie pour créer un mur d’énergie d’un type d’énergie de son choix. Lors de l’utilisation du pouvoir rayon d’énergie et de cette capacité, il se forme un mur d’énergie, opaque et vertical de 3m par 3m (le mur prend les dimensions de la pièce où il se trouve si jamais celle-ci est plus petite). Le mur persiste pendant 1d4 rounds.
Toute créature traversant le mur subit des dégâts égaux aux dégâts qu’ils auraient subit si on avait utilisé le rayon d’énergie simplement. Si le mur est créé à l’endroit où se trouve une créature alors elle subit des dégâts comme si elle était passée à travers. Un jet de réflexe (DD 10 + la moitié des DV + modificateur de Constitution) réussi réduit les dégâts de moitié.","","https://gemmaline.com/dons/dons-ecran-dromite-887.htm"
"Écriture de parchemins","[Création d’objets]","Le personnage peut rédiger des parchemins magiques, à partir desquels lui au d’autres lanceurs de sorts pourront utiliser les incantations écrites.","Manuel du Joueur","[[Niveau 1 de lanceur de sorts]]","Le personnage peut écrire un parchemin à partir de tout sort qu’il connaît, ce qui lui prend 1 jour par tranche de 1000 po du prix de base. Le prix de base d’un parchemin est de 25 po ´ son niveau de lanceur de sorts ´ niveau du sort reproduit. Le personnage doit sacrifier un nombre de points d’expérience égal à 1/25e du prix de base du parchemin et acheter les matières premières nécessaires (pour une valeur totale de la moitié du prix de base).Un parchemin dont le sort nécessite une composante matérielle coûteuse ou un sacrifice en termes de points d’expérience exige une dépense supplémentaire. En plus du prix de base indiqué ci-dessus, le personnage doit acquitter le prix exigé par le sort (et, le cas échéant, sacrifier les PX correspondants).","","https://gemmaline.com/dons/dons-ecriture-de-parchemins-34.htm"
"Écriture de parchemins épiques","[Création d’objets, Épique]","Le personnage peur écrire des parchemins épiques.","Campagnes Légendaires","[[Degré de maîtrise de 24 en Art de la magie], [Degré de maîtrise de 24 en Connaissances (mystères)], [Écriture de parchemins]]","Le personnage peut écrire des parchemins magiques dépassant les limites normales de tels objets . Ainsi, le personnage est capable d'écrire un parchemin renfermant un sort de niveau supérieur au 9e, ou encore d'un niveau de lanceur de sorts supérieur au niveau 20.
Cependant, même ce don ne permet pas d'écrire un parchemin renfermant un sort épique. En effet, une telle magie défie le pouvoir de simples mots couchés sur le papier et ne saurait être inscrite sur un parchemin.
","","https://gemmaline.com/dons/dons-ecriture-de-parchemins-epiques-1646.htm"
"Écumeur du désert","[Général]","Le personnage est particulièrement habitué à se déplacer dans le désert","Sandstorm","[[]]","Le personnage traite le sable peu profond comme un terrain normal et le sable profond comme du sable peu profond. Le personnage ne risque pas de briser une couche de sable sous ses pas.","","https://gemmaline.com/dons/dons-ecumeur-du-desert-1476.htm"
"Éducation","[Régional]","Certaines contrées accordent davantage de valeur à la plume qu’à l’épée. Durant son enfance, le personnage a bénéficié de plusieurs années d’instruction plus ou moins formelle.","Manuel des Joueurs de Faerûn","[[Avariel[Aire des aigles des neiges], Céladarin[Eternelle-Rencontre], Demi-elfe de lune[Lunargent], Elfe de lune[Eternelle-Rencontre], Elfe de lune[Lunargent], Elfe des bois[Eternelle-Rencontre], Elfe des bois[Lunargent], Elfe du soleil[Eternelle-Rencontre], Gnome des roches[Lantan], Humain[Chessenta], Humain[Eauprofonde], Humain[Gemmaline], Humain[Lantan], Humain[Lunargent]]]","Toutes les compétences de Connaissances sont pour le personnage des compétences de classe. Il a également la possibilité de choisir deux de ces compétences qu’il maîtrise particulièrement bien. Il bénéficie d’un bonus de +2 aux tests relevant de ces deux compétences. Si le personnage choisit une compétence qu’il ne connaît pas encore, il n’en tire aucun avantage immédiat car les compétences de Connaissances ne sont utilisables qu’après une formation.","","https://gemmaline.com/dons/dons-education-196.htm"
"Effet amélioré","[Épique]","Le personnage peut modifier le profil d'un effet, magique persistant déjà en place.","Manuel des Joueurs de Faerûn","[[Degré de maîtrise de 30 en Connaissances (mystères)], [Degré de maîtrise de 30 en Art de la magie], [Talent (Art de la magie)], [Aptitude de classe de Effet métamagique]]","Le personnage peut modifier les variables numériques d'un effet magique déjà en place (à l'exception du point d'origine ou du centre de l'effet) comme s'il jetait lui-même le sort, et même s'il en est normalement incapable. Par exemple, il a le droit de modifier le rayon d'un mur de feu en forme d'anneau, mais il est incapable d'en changer le point d'origine.
S'il le souhaite, il peut également remplacer le niveau de lanceur de sorts original par le sien. Il a également le droit de façonner l'effet comme bon lui semble tant qu'il respecte les paramètres du sort. A l'instar du pouvoir d'effet métamagique, il doit être adjacent à l'effet ou en son sein et réussir un test d'Art de la magie (DD 30 + [niveau du sort x 3}

Le personnage peut user de ce pouvoir et de son aptitude d'effet métamagique un nombre de fois par jour égal à 5 + modificateur d'Intelligence. Pour y recourir, il doit entreprendre une action complexe qui provoque des attaques d'opportunité.
","","https://gemmaline.com/dons/dons-effet-ameliore-2160.htm"
"Efficacité créative","[Général, Compétence]","Le personnage possède une imagination et une créativité lui permettant d'abattre plus de travail que les autres.","Experts 3.5","[[Cha 13], [Sag 13], [Int 13], [Con 13]]","Dans le cadre des tests d'Artisanats et Profession, le personnage réalise en une journée de travail l'équivalent de deux journées de travail.","","https://gemmaline.com/dons/dons-efficacite-creative-2333.htm"
"Efficacité de la frustration","[Général]","Le personnage canalise sa frustration pour passer outre la résistance à la magie de ses adversaires","Dragon Magazine #314","[[Cha 13], [Efficacité des sorts supérieure], [Efficacité des sorts accrue]]","Le personnage peut sélectionner une créature contre laquelle il a échoué à passer outre la résistance à la magie au round précédent. La prochaine fois qu'il a à réaliser un test de niveau de lanceur de sorts pour vaincre sa résistance à la magie, il gagne un bonus de morale de +1 à ce test. Ce bonus augmente de +1 après chaque échec, pour un maximum de +10.
Le personne ne peut bénéficier de ce don que pour une seule créature à la fois, et il se cumule avec les bonus conférés par les dons Efficacité des sorts accrue, Efficacité des sorts supérieure et Efficacité des sorts épique.
Si plus de 1 minute passe avant que le personnage n'ait à réaliser un test de niveau de lanceur de sorts pour vaincre la résistance à la magie de sa cible, le bonus disparait. Le bonus disparait aussi si le personnage lance un sort qui n'affecte pas la créature ciblée ou si il parvient finalement à vaincre sa résistance à la magie.","","https://gemmaline.com/dons/dons-efficacite-de-la-frustration-1830.htm"
"Efficacité des sorts accrue","[Général]","Les sorts du personnage sont particulièrement redoutables et plus efficaces contre la résistance de la magie adverse.","Manuel du Joueur","[[]]","Le personnage bénéficie d’un bonus de +2 à son test de niveau de lanceur de sorts (1d20 + niveau de lanceur de sorts) lorsqu’il s’agit de vaincre la résistance à la magie d’une cible.","","https://gemmaline.com/dons/dons-efficacite-des-sorts-accrue-35.htm"
